State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Sex_ratio,litracy_ratio
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,926268,600405,478027,243750,234277,63482,32408,31074,1053722,686149,367573,827181,226541,1529330,298856,145523,35602,573741,2201663,314159,10605,6799,417,45614,184,3611,171799,393498,13499,409335,274919,684254,379043,394576,313680,200191,130608,172683,28138,1618919,1034334,2653253,1561077,629951,388040,3984,95.0,65.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1179461,529081,1965637,898891,216772,34562,558317,3039279,547335,2696,64532,4384,13221,348,2384,123478,485723,9750,782294,212967,995261,492781,492981,468628,324050,230415,222622,31390,2262867,1384905,3647772,2346721,836000,490137,1321,89.0,60.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,513854,315489,80091,40639,39452,1372999,690476,682523,916574,482236,434338,542983,373591,880911,546569,199370,19818,150817,1701234,48834,22250,427,138,22613,109,1880,34189,120603,2324,390437,39407,429844,240067,190259,137780,75011,50438,47094,8145,748794,1040914,1789708,1153029,406214,216554,21688,98.0,61.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,432607,260700,221184,114969,106215,276857,143094,133763,552583,329754,222829,359785,192798,670172,216538,185037,15258,135750,1133349,79984,1432,3066,84,2795,48,1997,32685,161310,1363,249184,69804,318988,203489,194024,144190,76209,46847,49939,8057,722755,545842,1268597,762204,286344,173100,1107,93.0,60.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,741367,461115,1401269,754260,132696,30565,284961,2244882,321192,1157,450,157,34010,34,1869,39580,126494,2766,542825,55980,598805,406804,352636,219932,101291,52272,39533,7328,1179796,1501858,2681654,1731122,527629,326476,18524,90.0,52.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,694929,376225,1477308,500994,238894,25068,306198,2143046,371286,1576,23456,899,5758,18,2423,61113,288723,4179,479437,129697,609134,363676,330336,314953,211938,147520,132571,23311,1524305,1104824,2629129,1659515,546362,329127,13458,88.0,57.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,777582,478544,407947,206332,201615,229273,117026,112247,1148165,674589,473576,883329,264836,1260358,555168,163052,30149,399796,2224839,142427,1978,1468,183,35149,60,2419,93768,373644,6207,530015,145865,675880,398993,338296,258990,141250,92785,106667,10928,1347909,1180456,2528365,1439454,589476,365023,14570,97.0,62.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,752768,233440,1377729,499223,103833,26244,356908,2073356,235741,1901,20072,285,30850,79,1653,108812,220793,7607,335754,196179,531933,410155,333211,254335,143669,80296,101714,18577,1341957,1015331,2357288,1543867,517271,288165,14634,91.0,63.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,371705,213339,210788,109333,101455,228549,119454,109095,526091,314806,211285,361070,165021,584815,250453,111388,11172,153078,1017688,66609,682,11059,144,13455,24,1245,33406,136969,1392,239836,63452,303288,153500,159218,121104,63248,41227,41052,6460,585809,553622,1139431,686771,267648,155958,529,92.0,57.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,514851,306974,250224,126748,123476,201546,101893,99653,802755,456632,346123,656904,145851,741583,453201,123469,15435,210650,1413163,97855,1274,1515,252,25843,136,4300,59190,268172,4941,366780,88873,455653,245603,225700,170455,90889,58129,67155,10768,868699,715545,1584244,880043,398303,258997,6995,97.0,60.0
